created_at,id,full_text,in_reply_to_screen_name,metadata_iso_language_code,metadata_result_type,user_id,user_id_str,user_name,user_screen_name,user_location,user_description,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_contributors_enabled,user_is_translator,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,user_following,user_follow_request_sent,user_notifications,user_translator_type,sentiment,sentiment_value,emotion,emotion_value
Mon May 15 12:35:21 +0000 2023,1658088676839104512,"@SamsClub is truly insufferable sometimes, my god. 

*tries to buy item, but needs to use phone to pay for it to get the sale price

*tries to shop at 8:30am before doctor’s appt, needs to be “plus member” to shop before 10:00am",SamsClub,en,recent,473441300,473441300,Sentimental_Racoon,Mackenziedumas,,Amelia Bedelia but with a fraction of the charm,0,435,437,3,Wed Jan 25 00:06:58 +0000 2012,7832,1,0,8778,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-0.7,Mistrust,0.2
Mon May 15 11:07:00 +0000 2023,1658066443747971072,"Sam's Club tests hamburger robot
#retail #walmart #samsclub #ai #tech #robot
https://t.co/Go07GbMH1Y",,en,recent,19728792,19728792,8th and Walton,8thandWalton,"Bentonville, Arkansas","A Bentonville, Arkansas based supplier education company focused solely on supporting Wal-Mart suppliers",0,2445,2170,55,Thu Jan 29 19:33:47 +0000 2009,24,1,0,12880,0,0,0,0,0,0,0,0,0,0,0,none,Neutral,0.0,Surprise,0.8
Mon May 15 10:07:37 +0000 2023,1658051501879619584,"@shannonsharpeee @SamsClub But my oldest said, "" You lucky little man, my dads wife,  my momma was a devout Caddy ( Catholic ), and she lived for forgiveness,"" so you get a pass.. but she took his gun..

But had this been today...Boyee, he'd be in the Afterlife! 🤣🤣🤣",Tartarus_63,en,recent,1611655006381379584,1611655006381379584,B.M.C.S. _ Ret...🇨🇱🇦🇸🇼🇸🇩🇴,Tartarus_63,"Richmond, TX","@usc✌ @tamu dad-10x /
It is better to be hated & respected, then to be loved & hated on - Suffer Silently, Silently Suffer - 1 shot, 1 kill🫡🔱🇨🇱🇼🇸🇦🇸🇺🇸",0,23,182,0,Sat Jan 07 09:25:02 +0000 2023,1117,0,0,2205,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.8,Joy,1.0
Mon May 15 10:04:36 +0000 2023,1658050743276847105,"@shannonsharpeee @SamsClub He thought he'd hit Jackpot except Me , all 3 girls who are @TxDPS @FBCSO and @JCSO_Texas ( She drove in for Aso le o Tina / mama's day ( She died last year breast cancer 🎀  July 9th, ) so we somber in nature, well all of us strapped 🤣🤣🤣 we drew down on him they ID they self.",Tartarus_63,en,recent,1611655006381379584,1611655006381379584,B.M.C.S. _ Ret...🇨🇱🇦🇸🇼🇸🇩🇴,Tartarus_63,"Richmond, TX","@usc✌ @tamu dad-10x /
It is better to be hated & respected, then to be loved & hated on - Suffer Silently, Silently Suffer - 1 shot, 1 kill🫡🔱🇨🇱🇼🇸🇦🇸🇺🇸",0,23,182,0,Sat Jan 07 09:25:02 +0000 2023,1117,0,0,2205,0,0,0,0,1,1,1,0,0,0,0,none,Neutral,0.0,Sadness,0.4
Mon May 15 10:03:23 +0000 2023,1658050433510940672,"RT @CardPurchaser: Sams Club still has Fanatics gift cards at $79.98 per $100 worth.

https://t.co/aTQ5RhjTDc",,en,recent,589931785,589931785,Coffee Card Guy,collec_sport,,"NY Giants,Eli Manning,Charles Way, Kerry Collins,Celebrity Autos/Relics, 95-99 inserts all sports and players! RODNEY HAMPTON SUPER COLLECTOR!",0,12617,3454,157,Fri May 25 11:55:23 +0000 2012,76605,0,0,212318,0,0,0,0,0,1,0,0,0,0,0,none,Positive,0.8,Surprise,0.8
Mon May 15 09:58:27 +0000 2023,1658049193192173569,"@shannonsharpeee That's Kwame..broke it down..and it's always these under 5ft rappers putting out ""Shoot this, that"" man put that 🔫 down put them hands up between yall... better yet get a book read. 

I had a youngster yesterday pull up on me, and 3 of my oldest girls...we at @SamsClub - I - 10",shannonsharpeee,en,recent,1611655006381379584,1611655006381379584,B.M.C.S. _ Ret...🇨🇱🇦🇸🇼🇸🇩🇴,Tartarus_63,"Richmond, TX","@usc✌ @tamu dad-10x /
It is better to be hated & respected, then to be loved & hated on - Suffer Silently, Silently Suffer - 1 shot, 1 kill🫡🔱🇨🇱🇼🇸🇦🇸🇺🇸",0,23,182,0,Sat Jan 07 09:25:02 +0000 2023,1117,0,0,2205,0,0,0,0,1,1,1,0,0,0,0,none,Neutral,0.0,Neutral,0.6
Mon May 15 03:29:40 +0000 2023,1657951351693885440,"Sams Club still has Fanatics gift cards at $79.98 per $100 worth.

https://t.co/aTQ5RhjTDc",,en,recent,1246147915715837952,1246147915715837952,Card Purchaser,CardPurchaser,USA,"Sports card collector w/ card talk, hobby news, release info, hobby help, restocks. RT & Likes not endorsements. https://t.co/YC9KvKAC7H Scroll my feed daily.",0,71886,15981,325,Fri Apr 03 18:49:58 +0000 2020,1736980,1,0,300652,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.8,Surprise,0.8
Mon May 15 03:18:46 +0000 2023,1657948611567820801,My Ex BFF swore they sold it in bulk at @SamsClub 😅😂🤣⁉️‼️⁉️‼️ https://t.co/Aeda1obvCR,,en,recent,31468416,31468416,TRACY LEIGH POWERS 👸🏼🙏🏻🦄💖,TRACYSGOTPOWERS,"GV,Henderson,NV,USA",GOD 1st.Lost my Fiancé 7/12/2020 to a heart attack. Starting over at 50; join me on my journey‼️,0,1124,561,97,Wed Apr 15 17:56:00 +0000 2009,12171,1,0,59879,0,0,0,1,1,1,0,0,0,0,0,none,Amused,0.6,Surprise,0.8
Mon May 15 03:16:23 +0000 2023,1657948011492970501,@colourmesadder My Ex BFF swore they sold it in bulk at @SamsClub 😅😂🤣⁉️‼️⁉️‼️,colourmesadder,en,recent,31468416,31468416,TRACY LEIGH POWERS 👸🏼🙏🏻🦄💖,TRACYSGOTPOWERS,"GV,Henderson,NV,USA",GOD 1st.Lost my Fiancé 7/12/2020 to a heart attack. Starting over at 50; join me on my journey‼️,0,1124,561,97,Wed Apr 15 17:56:00 +0000 2009,12171,1,0,59879,0,0,0,1,1,1,0,0,0,0,0,none,Amused,0.6,Surprise,0.8
Mon May 15 02:47:42 +0000 2023,1657940793607311361,SAMS CLUB? this is by far the most strange reply I've ever gotten but I'll take it https://t.co/QkO3BRD1dU,,en,recent,1317184675618516996,1317184675618516996,wilde/sammy 🐍,lackadaisaI,,they/he 20 - commissions open!! - im gonna eat ur dice,0,137,245,5,Fri Oct 16 19:24:46 +0000 2020,26359,0,0,4029,0,0,0,0,1,1,1,0,0,0,0,none,Neutral,0.0,Surprise,0.8
Mon May 15 01:55:15 +0000 2023,1657927590399688705,"RT @bulkbuysplitter: Happy Mother's Day to all the incredible moms out there!

Your love and dedication are truly unmatched, and we are so…",,en,recent,23449262,23449262,Alan Patterson,Paatterson,"Washington, DC","Dad, Entrepreneur, Terp, ΚΑΨ & Co-Founder - Master of my Fate Captain of my Soul - RTs aren't endorsements",0,471,1628,27,Mon Mar 09 15:41:40 +0000 2009,20488,1,0,3776,0,0,0,0,1,0,0,0,0,0,0,none,Positive,1.0,Joy,1.0
Mon May 15 01:07:56 +0000 2023,1657915684238532609,"Hey @SamsClub It would be helpful if you'd allow adding items to an already-placed pick-up order like some other stores do. A couple times I've placed a 2nd order but they only come out with one, and I feel bad about them going back.",,en,recent,949876501398376448,949876501398376448,Nichole,Nichole_BOOHfan,"Indiana, USA","#MedicareForAll #NeitherPartyCaresAboutUs ; Jim Steinman and Bat Out of Hell The Musical 🦇🦇🦇🔥❤️, INFJ, cats 😸🐱😺",0,2098,2878,6,Sun Jan 07 05:33:00 +0000 2018,178712,0,0,25661,0,0,0,0,0,1,0,0,0,0,0,none,Neutral,0.0,Neutral,0.6
Mon May 15 00:37:40 +0000 2023,1657908067009277952,@KevinHart4real @SamsClub @Chase @DraftKings @fabletics_men @OldSpice @myharthouse @AudemarsPiguet @c4energy @SIRIUSXM @netflix @peacock I like those beats for real,KevinHart4real,en,recent,1657366503157555201,1657366503157555201,Arthur Power,ArthurPower2023,,about a year ago I was gaining 440 lb  and now today 250 thank you Lord keep me strength,0,47,296,0,Sat May 13 12:46:22 +0000 2023,83,0,0,31,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.9,Joy,1.0
Mon May 15 00:15:12 +0000 2023,1657902414400290818,Need new company @SEC_Enforcement @SEC_Investor_Ed @CNBC mini Tacos 36 to box under $5.00 @kroger @Target shelf them by meatballs corndogs @WhiteHouseHPI @WhiteHouseGPC @WhiteHouseCEA can't find copy right office yet. @NSAGov @SamsClub https://t.co/bKfgM7Trif,,en,recent,1655700408268992512,1655700408268992512,Amylynn Volluz,AmyVolluz518513,,,0,0,218,0,Mon May 08 22:25:50 +0000 2023,61,0,0,123,0,0,0,0,1,1,1,0,0,0,0,none,Neutral,0.0,Neutral,0.6
Mon May 15 00:12:12 +0000 2023,1657901660625149954,"RT @FalconPassPTA: Thanks to the generous donations of our PTA, FPE families &amp; community partners, we celebrated our teachers &amp; staff with…",,en,recent,39191995,39191995,Jennifer Kiev,jaybk6145,"Pearland, TX",,0,31,72,1,Mon May 11 04:29:05 +0000 2009,84,1,0,2151,0,0,0,1,1,0,0,0,0,0,0,none,Positive,0.9,Joy,1.0
Mon May 15 00:10:08 +0000 2023,1657901138673270786,@WillMoclair .@SamsClub needs to sponsor this post 😂,WillMoclair,en,recent,859192652910166017,859192652910166017,Anna Darling,AnnaDarlingTV,"Fayetteville, AR","FOX24 Evening Anchor/Reporter at @KNWAFOX24 • @IUBloomington Alum ❤️ Indiana Hoosier • Proud cat & plant mom, cycling & sushi enthusiast • Views are my own",0,5868,868,26,Mon May 01 23:47:46 +0000 2017,4363,1,0,3790,0,0,0,0,1,0,1,0,0,0,0,none,Positive,0.8,Joy,1.0
Sun May 14 23:52:21 +0000 2023,1657896664193966080,"@SamsClub I am 6 months pregnant and was craving a brownie sundae. I was look forward to the sundae very much, but I almost swallowed this plastic pouch part that was in my sundae 😩😳 https://t.co/yeUUmOUPT6",SamsClub,en,recent,147606815,147606815,Jen Tweets,JsendsTweets,,,0,245,247,4,Mon May 24 15:35:46 +0000 2010,6,0,0,793,0,0,0,0,1,1,0,0,0,0,0,none,Negative,-0.8,Disgust,0.0
Sun May 14 23:07:22 +0000 2023,1657885342530256896,@crayforddl @SamsClub They are terrible at rotating merchandise. Had store #8138 tell me last week they would not pull down new salad mix until the stuff that expired the next day was gone.  Who wants to by produce right before it expires.,crayforddl,en,recent,52599323,52599323,Yosarian,nilolan,nowhere,just a man,0,62,329,0,Wed Jul 01 02:05:03 +0000 2009,4246,0,0,2719,0,0,0,1,1,1,0,0,0,0,0,none,Negative,-0.8,Mistrust,0.2
Sun May 14 22:36:10 +0000 2023,1657877493108572161,@SamsClub_Sam @stupidatm W finish!!,SamsClub_Sam,en,recent,1021452809915502593,1021452809915502593,Gamey McGameface,mcgameface,somewhere over a rainbow,"Just a dude who loves video games!
📹 Editor/GFX Design/Musician 🎵
Member of @HijinxTeam  
https://t.co/tSaOS6Fw4r…
EpicCreator code: GAMEY-MCG",0,1707,452,2,Mon Jul 23 17:51:42 +0000 2018,52017,0,0,21873,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.7,Joy,1.0
Sun May 14 22:15:21 +0000 2023,1657872253382524929,"Earn a $20.00 Sam's Club Egift card When You Sign up Using the Link in t...
https://t.co/NIWqOZokBk via @YouTube 

#SamsClub #Walmart #SamsClubMembership SamsClubDiscount #Shopping #Discount #ClubMembership",,en,recent,507865095,507865095,nerdom,hustlenomics916,"Space, CA","Entrepreneur x Affiliate Marketer

I tweet deals that may contain affiliate links. As an Amazon Associate, I earn from qualifying purchases.

Use the link below",0,476,299,29,Tue Feb 28 20:17:52 +0000 2012,361,1,0,110190,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.9,Joy,1.0
Sun May 14 22:03:41 +0000 2023,1657869315209560073,"@SamsClub Why won't Sam's Club install the tires I want on my car?

Exact size as original tires yet Sam's is saying I need tires rated to 149 mph instead of the ones I want and same type that have been on the car for years rated to 118 mph.

I can barely get the car to do 70!!",SamsClub,en,recent,4247299639,4247299639,Daniel Savage,TheLastSavage1,,I come in search of truth and some pointy boots and maybe a few snack crackers.,0,452,162,3,Sun Nov 15 16:13:53 +0000 2015,73043,1,0,24580,0,0,0,0,1,0,1,0,0,0,0,none,Negative,-0.8,Mistrust,0.2
Sun May 14 20:30:15 +0000 2023,1657845803602309120,"@SamsClub south Saunders street, Raleigh needs a new management team asap.  Packed store and two lanes open with employees.  Store dirty and not well-signed to top it off.  Never seen it this bad.  Truly sad from how this store first started.",SamsClub,en,recent,57225037,57225037,Kevin,kjkiernan,,,0,4,19,0,Thu Jul 16 03:08:08 +0000 2009,19,0,0,22,0,0,0,0,1,0,1,1,0,0,0,none,Negative,-1.0,Sadness,0.4
Sun May 14 19:30:54 +0000 2023,1657830869669740547,"RT @bulkbuysplitter: Happy Mother's Day to all the incredible moms out there!

Your love and dedication are truly unmatched, and we are so…",,en,recent,1195763290040946689,1195763290040946689,Mrs A,busiayoo,In Christ,Jesus • Marketing • Storytelling | 💍 @JustOluwafemi | Join my newsletter community 👇,0,1216,722,3,Sat Nov 16 17:59:41 +0000 2019,16991,0,0,9166,0,0,0,0,1,1,1,0,0,0,0,none,Positive,1.0,Joy,1.0
Sun May 14 19:18:33 +0000 2023,1657827759832309762,@dorisberriz @Walmart @WinnDixie @Publix @Target @AldiUSA @cvspharmacy @Walgreens @Costco @SamsClub @TraderJoesList Read the box MASKS DONT WORK. But please keep wearing them. The “made in China” helps Biden’s  buddy out. 🤡,dorisberriz,en,recent,1590113647942160385,1590113647942160385,PegLegFlamingo(aka Gloria),PegLegFlamingo,United States ,God Fearing American. Protect our Kids The Constitution is not just Paper 🇺🇸 Make America Great Again Deplorable🇺🇸2A (GloriaakaNana71)was my first account,0,1521,2024,1,Tue Nov 08 22:47:26 +0000 2022,8968,0,0,15031,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-1.0,Mistrust,0.2
Sun May 14 19:12:00 +0000 2023,1657826109709230082,@SamsClub Columbus IN club is ridiculous. Line to get out after checking myself out was almost to the food court. I left my items unpaid and will buy them at Kroger or Target.,SamsClub,en,recent,2148127302,2148127302,Donmichael Thompson,RealDonmichael,"Columbus, IN","Teacher at BCSC in Columbus, IN",0,185,241,1,Tue Oct 22 01:36:12 +0000 2013,992,0,0,828,0,0,0,0,1,0,1,0,0,0,0,none,Negative,-0.8,Mistrust,0.2
Sun May 14 18:56:08 +0000 2023,1657822117939884034,"@TexasGans @SamsClub Gas Loop - STOP PAYING FULL PRICE FOR GAS - Basically free $30-40

This loop will get you $1.55-$2 off each gallon of gas:
(If you fill up 20 gallons, you just saved over $30+)
https://t.co/P0QfAHsosh",TexasGans,en,recent,1651633074222899206,1651633074222899206,clay davis,claydavis118,,,0,0,2,0,Thu Apr 27 17:03:11 +0000 2023,0,0,0,406,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.9,Joy,1.0
Sun May 14 18:44:31 +0000 2023,1657819193792708611,"Well said, Sam’s Club. https://t.co/kCFy3jgCSt",,en,recent,1056743533,1056743533,Ross Miller,millerrossb,"Denver, CO",Cursed Nebraska fan and alum. Denver!!,0,957,479,9,Thu Jan 03 03:09:55 +0000 2013,40892,1,0,8951,0,0,0,0,0,1,0,0,0,0,0,none,Positive,1.0,Joy,1.0
Sun May 14 18:36:28 +0000 2023,1657817171014082560,"@SamsClub So I have a problem my wife and I purchased a vizio tv I believe in June, since having this TV we have barely used it, since last June it says the TV up time is 3 days a few hours and minutes as you can see in the picture. I turned the TV on and now it flickers like",SamsClub,en,recent,1620973692812496896,1620973692812496896,La Sombra Negra,Roja1670,,,0,2,19,0,Thu Feb 02 02:33:50 +0000 2023,0,0,0,11,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-0.8,Mistrust,0.2
Sun May 14 18:00:46 +0000 2023,1657808186357760002,@SamsClub_Sam @stupidatm Well done ggs👍👍,SamsClub_Sam,en,recent,1484439628610420740,1484439628610420740,rainbow heron2023,kerridge978,inside herald tree,Like games outdoor walks and tech I'm also on twitch at rainbowheron2022,0,190,657,0,Fri Jan 21 08:16:25 +0000 2022,4077,0,0,11565,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.8,Joy,1.0
Sun May 14 17:29:06 +0000 2023,1657800214021828610,@SamsClub_Sam You did amazingly,SamsClub_Sam,en,recent,1149108562981019648,1149108562981019648,STUPIDATM,stupidatm,,"Heya! Welcome to my bio! I'm Chris! Love video games & football! Chill vibes, geeking out & being stupid w/friends! Let's get stoopid together! ❤️@samsclub_sam",0,983,988,1,Thu Jul 11 00:10:05 +0000 2019,48862,1,0,36719,0,0,0,0,1,1,1,0,0,0,0,none,Positive,1.0,Joy,1.0
Sun May 14 17:24:55 +0000 2023,1657799163319386113,"When I say I am going to the club, I mean @SamsClub 🕺 The skim milk 🥛 prices are very reasonable. #dadlife #sundayfunday",,en,recent,1098461088222531584,1098461088222531584,Matt Donahue,donahuegroup,"Hattiesburg, MS","The Donahue Group operates a molecular foundry constructing nitrogen heterocycles.⚒️💊🧪piperidines, pyrroles and pyrazines, oh my!",0,200,127,0,Thu Feb 21 05:55:06 +0000 2019,150,1,0,688,0,0,0,0,0,1,0,0,0,0,0,none,Positive,0.8,Joy,1.0
Sun May 14 16:59:05 +0000 2023,1657792659799306240,"I'm at @SamsClub Fuel Center in Fountain Valley, CA https://t.co/dlRTJIImxV",,en,recent,95623186,95623186,Barisan the Younger,Kalbozey,Southern California,"Family, Travels, Consumer Issues & Progressive Causes
Thomas Merton, Dorothy Day & Leonardo Boff Catholic",0,444,848,18,Wed Dec 09 11:00:43 +0000 2009,17895,1,0,13067,0,0,0,0,1,0,0,0,0,0,0,none,Neutral,0.0,Neutral,0.6
Sun May 14 16:56:35 +0000 2023,1657792031052255236,"Happy Mother's Day to all the incredible moms out there!

Your love and dedication are truly unmatched, and we are so grateful for everything you do. Today, and every day, we celebrate you! 💐👩‍👧‍👦

 #BBSwholesale #BBS #Convenient #BBSsmartsaver #costcodeals #samsclub #samsclubdeals https://t.co/rVgDxLhTeY",,en,recent,1636413859211755523,1636413859211755523,BulkBuySplitter,bulkbuysplitter,,"Bulk Buy Splitter allows you to create your own supply chain with friends and businesses for a small fee every month!
Download the mobile app and sign up today!",0,8,1,0,Thu Mar 16 17:07:38 +0000 2023,1,0,0,19,0,0,0,0,1,1,1,0,0,0,0,none,Positive,1.0,Joy,1.0
Sun May 14 15:42:54 +0000 2023,1657773491360235521,"Happy Mother’s Day… Muah!💋 #mothersday

#numberoneinthecountry #365pie #joyebells #desserts  #pie #joyebellspeachpies  #joyebellssweetpotatopies  #samsclub #foodlion #qvc #sweetpotatopie #peachpie #familyreunion #cookout #summer #southern #backwoods #country #deliciousness https://t.co/Rl9pMWKBBv",,en,recent,1151862223578513409,1151862223578513409,JOYEBELLS,_joyebells,"Virginia, USA","JOYEBELLS is home to that mouthwatering, southern, backwoods, country deliciousness! 6 Generations of Baking Excellence.",0,59,17,0,Thu Jul 18 14:32:09 +0000 2019,628,0,0,529,0,0,0,0,1,0,1,0,0,0,0,none,Positive,1.0,Joy,1.0
Sun May 14 15:41:24 +0000 2023,1657773112006434816,i love buying stuff at @SamsClub for full price only to realize it's expired when i  get home. wtf,,en,recent,422176338,422176338,taylor,crayforddl,"Chicago, IL",weird old stan account that i use to rant lol,0,2676,1437,13,Sat Nov 26 22:38:53 +0000 2011,47830,0,0,25391,0,0,0,1,1,1,0,0,0,0,0,none,Negative,-0.6,Mistrust,0.2
Sun May 14 13:43:30 +0000 2023,1657743442204676096,@SamsClub Purchased Thursday. 7day policy please. @samsclubhelp https://t.co/RGKm6DTwgj,SamsClub,en,recent,158183627,158183627,ずかし♡手作りツイート,ZukashiT,皇堡帝国,ワンランク上の透き通った清々しい変態。三度の飯より食べるのが好き。特技は自画自賛。二十歳から外資、GAFA全て経験済みの英検３級（男性経験無し）。2013年ニュヨークの精神病院を脱出。今はおロでする仕事と読モ（B:102 W:79 H:95）。米国ピザ取得済、二ヶ月フォロー無料（会員制）。,0,14153,2967,167,Tue Jun 22 00:47:09 +0000 2010,225397,1,0,370291,0,0,0,1,1,1,0,0,0,0,0,regular,Neutral,0.0,Neutral,0.6
Sun May 14 13:39:47 +0000 2023,1657742507357208578,"@philthatremains @SamsClub Easily done, cut me the check.",philthatremains,en,recent,843515928,843515928,Sir Charles the Stalwart,Cwindstar,Right Behind You,"Many hobbies. Not PG or PC. Polyamorous.
🔞 Dibellan Paladin. Expert RPer.
Fluent in Meme, GIF, Naps and Snaxs.
Quite the character, normal people stay away 😂",0,818,3000,20,Mon Sep 24 12:42:15 +0000 2012,48496,0,0,52392,0,0,0,1,1,1,0,0,0,0,0,none,Positive,0.8,Surprise,0.8
Sun May 14 12:30:58 +0000 2023,1657725187767390213,@ablakeallen @SamsClub Now I’m going to have to go buy some. I pass up a good salsa!!,ablakeallen,en,recent,1398685423057223685,1398685423057223685,Julie Grohman,grohman_julie,,,0,54,203,0,Sat May 29 16:59:41 +0000 2021,2509,0,0,87,0,0,0,0,1,1,1,1,0,0,0,none,Positive,0.8,Joy,1.0
